,City,Max Temp,Lon,Lat,cloudiness,Wind Speed ,Humidity,Country,Date
355,san patricio,26.42,-56.83,-26.98,24,2.55,86,PY,1541175620
356,tatarskaya pishlya,0.57,44.9,54.06,8,4.35,85,RU,1541175621
357,pyaozerskiy,0.9,31.17,65.83,92,2.5,100,RU,1541175622
358,georgetown,30.0,-58.16,6.8,75,3.1,70,GY,1541170800
359,havre-saint-pierre,5.0,-63.6,50.23,20,1.0,75,CA,1541174400
360,tual,29.07,132.75,-5.67,56,4.65,100,ID,1541175625
361,banjarmasin,25.17,114.59,-3.32,12,2.15,100,ID,1541175625
362,salcininkai,11.0,25.38,54.3,75,6.2,93,LT,1541173800
363,saint george,19.0,22.34,39.45,0,1.15,82,GR,1541173800
364,gillette,3.9,-105.5,44.29,90,8.2,64,US,1541173980
365,oga,31.7,5.65,8.18,36,1.95,67,NG,1541175630
366,noumea,18.0,166.46,-22.28,0,1.5,77,NC,1541174400
367,isangel,22.57,169.27,-19.55,92,9.6,100,VU,1541175633
368,conceicao do araguaia,31.17,-49.26,-8.26,12,3.0,82,BR,1541175633
369,san cristobal,15.0,-78.55,-0.39,75,4.6,58,EC,1541170800
370,brasilia,29.0,-37.55,-10.9,20,8.7,62,BR,1541174400
371,codrington,18.65,153.24,-28.95,8,3.05,76,AU,1541175636
372,arcachon,14.0,-1.18,44.65,0,3.6,58,FR,1541174400
373,cockburn town,27.5,-71.14,21.46,44,7.45,100,TC,1541175416
374,sault sainte marie,3.3,-84.36,46.49,75,5.7,64,CA,1541174400
375,mayo,-13.0,-135.9,63.59,90,2.6,78,CA,1541174400
376,namibe,22.85,12.15,-15.19,0,5.1,100,AO,1541175642
377,pedasi,26.22,-80.03,7.53,56,2.85,100,PA,1541175643
378,honggang,10.1,114.87,29.51,56,1.0,78,CN,1541175643
379,mudon,25.1,97.73,16.26,0,1.6,78,MM,1541175644
